sentiment,text
negative,@united mobile apps need construction from the ground up for each OS category.  It's expensive to get right .
negative,@united another fail for the United ticket agents in OKC. LESS than helpful and could care less about our problems. American here we come.
positive,"@united 441, which also had 1 working WC in coach. Good thing this bird landed ahead of schedule. I have to use the WC stat."
neutral,@united the os isn't controlled by me but rather @VerizonWireless .  App is new.
negative,"@united I just sent an email to Customer Care, telling them I may have to break up with you 😢. I sincerely hope they can help me!!"
negative,@united silly I'm flying delta today. Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk
negative,@united What is your phone number. I can't find who to call about a flight reservation.
negative,"@united well, you can't fix me missing my buddies 30th bday because of negligence but you can attempt to make up for it."
negative,"@united why am I to believe they will help when customer service couldn't? Like I said, I want a number to someone who can fix what you did."
negative,@united they helped me at the baggage service desk.  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR @ 12
negative,@united Mobile boarding pass disappeared from phone while standing in line to board. Second time this week... Hmm.
positive,@united for the record- Rozana at Newark was lovely and helpful. #choosekind
neutral,@united It was last night's 1235/ORD-LGA.
positive,@united thx for update
neutral,@united thank you !
neutral,@united dm these nuts
negative,@united Had to explain to a very over eager flight attendant trying to ask about my vision that my @ccicanine was not a guide dog!
negative,@united what's the point of asking for details about a #servicedog when you book if your flight crew doesn't read them? (Continued)
negative,@united I tried but no one was available in bogota and everyone was rude in Houston. I was stuck for 35 hours because of you guys
negative,@united #worst2unitedflightsever UA 236 LAS to IAD 2/24 mechanical problems again - took off - had to land for fix - delayed again #wtfodds!
positive,@united despite my bag not making it to Newark good informative email tracking updates help!
negative,@United. What's going on with UA 236?  outbound flight last thurs was delayed 4hrs How long will this delay be? #worst2unitedflightsever
negative,@united #worst2unitedflightsever UA1429 IAD to LAS 2/19 mechanical problems - switched aircraft delayed 3.5 hours!
negative,@united crashed trying to check in.
positive,"@united Wow. What a deal. Again, 30+ plus seats available. Easy change to make a customer happy."
neutral,@united thanks for the info I already knew...
neutral,@united Airline trouble this winter &amp; not getting good customer service? contact http://t.co/aQjn4HwNaC  we negotiate resolutions for You!
negative,@united on 768 to Logan - boarding gong show due to lax carry on enforcement. Bins full of coats = no room for bags. U need a better system!
neutral,@united Thank you.
negative,@united Blackmailed me into paying £130 extra or having my return ticket nullified in San Francisco Airport. Terrible service from rep #scam
neutral,@united is there an email address I can reach? Too long for a DM.
negative,@united disappointed that u didnt honor my $100 credit given to me for ur mistakes. Taking my business elsewhere  ✌️out.
negative,@united ua1673 still waiting! Supposed to depart 9:08
negative,@united it was credit from my last trip that never came in the mail!
negative,@united ok it's now been 7 months waiting to hear from airline. I gave them quite a bit more than the 30 days requested! Terrible service
negative,@united does this process ever end? Still waiting for the reply since 2 months #pathetic #customerservice
negative,@united What's going on with your website? I'm Flight Booking Problems three tickets today and I've been booted off the system umpteen times.
negative,@united how do I get my account number if your website says email is unavailable?
neutral,@united So do I need to book two one ways in order for her to fly as an unaccompanied minor?
negative,"@united I received 1 bag last night, I am still missing the other one."
negative,"@united @simonroesner you'll need to upgrade the seats too, even in economy plus it's like sitting on a concrete bench."
neutral,@united Pls Help Baby Hannah get the life saving surgeries she requires.She needs your help.Pls Donate/RT http://t.co/kQnrrP86A5
neutral,"@united bet you wont honour them, like mine ey"
negative,@united 2nd flight also delayed no pilots! But they boarded is so we can just sit here! #scheduling
neutral,"@united I guess that's too much ask, huh?"
negative,@united but it's hard to stay upset at someone when they at least TRY to show remorse.
negative,"@united By the way, a simple apology goes a long way, even if it's a hollow one. It's obvious that you don't care about me or my well-being,"
negative,@united This isn't a one time thing either! It's a shocking pattern of repeated neglect and disrespect.
negative,@united Fingers crossed &amp; its all intact. Very disappointed with this experience as before this we were actually saying we enjoyed using you
negative,"@united It's an incredibly easy fix, but you would rather stay in your comfort zone, while I get forced out of mine."
negative,@united ours in July. You have ZERO excuses for this. You have an out-of-date system that causes problems like this.
negative,@united Everyone around us is sitting with their friends and family members. They booked their tickets in October and December. We bought
negative,@united Not sure what you are talking about. She is going on nonstop flights. SNA to SFO and then SFO to EWR.
negative,".@united it will be because I'm moving to @AmericanAir because of @united talk, no service"
neutral,@united please be good to me this weekend!
negative,"@united I asked a legitimate question about systemwide vs. localized problems, and got back an unreLate Flightd copy/paste. You can do better."
negative,@united what time? Who can I call. I need my skis. I will go to the airport and get them. No more faith in United.
negative,@united I see you guys are at it again. Amazing how one company continually makes mistakes yet fails to be held accountable for their error
neutral,@united A Tourist Wonder: Super Tides and Tide of the Century at French and U.K coasts: http://t.co/gXdqORtsS0
negative,@united Yeah sorry but there's always a problem with United. And you have an international reputation for having problems.
neutral,@united yall should probably work on that.
negative,"@united but then again, maybe the @BBBNE_SD_KS_IA would care more to hear what went on than whoever listens to issues you caused"
negative,@united I wonder if sharing all this on FB and insta would produce a number. 140 characters really limits my story telling.
negative,@united so you're telling me there is no number to call after being left in an airport because of a negligent pilot and staff?
negative,@united Could this email be resent as it doesnt appear to have arrived.
neutral,@united yes please! Trying to get to POP- in Newark now....
negative,@united you have to follow me in order for me to DM...come on now
negative,"@united $25 United coupon to make up for broken entertainment system on a 9-hour flight, seriously? #Ridiculousness #learncustomerservice"
negative,@united So they didn't drop my bag overnight &amp; now I'm leaving for a week. This is why you were supposed to hold on to the bag....
negative,@united I did DM the details but still no response. I have to book today.
neutral,@united I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? 🙏
neutral,@united can someone please explain the process of of what happens to property found on a plane after passengers leave at Heathrow ?
negative,@united not able to DM you my confirmation number
negative,"@united I've sent the message, let me know if you got it. I'm not very twitter-literate. Also, is he REALLY going to be stuck for 18hrs?"
negative,@united very unhappy at no response to complaint emailed on 2nd Feb ref.8441639. Awful customer service!
neutral,@united DM does not work what do I do?
positive,@united private jet would have been cool! Do does not work. I'll try again
negative,@united we were not given the option of using our United TravelBank in a recent Flight Booking Problems! Any help in using or recouping these funds? Thanks!
negative,@united common!! keep your paper work ready and don't delay our flights(#1585)and meetings @ChooseChicago
neutral,@united how about 3659 YUL-ORD?
negative,"@united yep that's correct, I got an email at 12:30 am that the flight was Cancelled Flightled, doesn't matter now flight into atl is delayed, thx"
negative,@united 1k and had problem getting out of FLL to IAH  sent DM to you about making my connection  please let me know
neutral,@united Done and done
positive,"@united thanks, just sent :)"
negative,"@united I'm grounded in Montreal with ua3659. I am missing my connection ua3417 to St. Louis. Can you help,Do you have a private jet for me?"
negative,@united I'm so frustrated and nervous because of this.
negative,@united are the ones who make it difficult for me.
negative,@united I'm not a child. I'm someone who has an issue with flying and prepares ahead of time to reduce the distress caused by planes. You
negative,@united how does it get Cancelled Flightled 10 hours before take off?
negative,"@united This ALWAYS happens with you guys, and it makes traveling incredibly stressful and uncomfortable. Is that good business to you?"
negative,@united So what does someone with severe anxiety do when the one person who can help him isn't next to him?
negative,@united I'm seeking to go 2 client. B/c u cant get me there I need refund. I filled out form not confident it works if past is an indication
neutral,.Thnx for the response @united bot. It seems this 'improvement' could be easily attained. Is your 1st Class service really only worth $50?
positive,"@united has unrivalled access to #California with flights to the U.S. from 7 UK airports, with nonstop or one-stop connections year-round"
neutral,"@united booked award tix on ThaiAirways but I'm not seeing a conf# for them, just the United Flight Booking Problems#. Can you get get the Thai# for me?"
negative,@united Luckily I made my flights this time but was so disappointed with the lack of communication :(
negative,@united checking to see why flight 3466 (atl-ord) got Cancelled Flighted?
negative,@united service so far has been horrid. We wanted to end the trip on a high note. Guess that's not an option.
negative,@united Booked a flight home over 7 months ago and requested seats together for my fiancée and I. We got 2 middle seats. UNACCEPTABLE. The
negative,@united YOU GUYS ARE HORRIBLE.
positive,@united thnx for the info
negative,@united Why do I have to pay $ 17 for wifi with an international business ticket?  #pennypincher
negative,"@united ok. To top things off, you've lost my luggage. Could you get ANY worse??? #UnitedAirlines"
positive,@united kudos for not Cancelled Flightling flights from DFW this morning.   United usually first to panic...
negative,@united AND my luggage has been broken!! #youcouldntmakethis up #brokenwheel
neutral,@united is flight 587 from DFW to ORD currently on-time? I see an advisory that DFW may be affected by weather
negative,@united maybe one day you'll be the one quoted on http://t.co/mJkpgVXmPC
negative,@United flight delayed-no one remembered to turn the heat on flight 559 leaving ORD-seriously???
positive,@united another awesome new plane flight 1584 and extremely nice Captain Steve Connolly.
negative,@united to speak to a real person to get this resolved politely and efficiently. (2/2)
negative,"@united I hadn't filed a refund claim as I was told there was no charge by your DM. This is disputed by my bank, hence why I would like(1/2)"
negative,@united did  bags make it on the flight out of iad? second day without clothes is pretty inconvenient. We're pretty curious #UnitedAirlines
positive,@united Every United flight between Saipan and Guam is an adventure! You never know when @CapeAir's old plane will be operational :)
negative,@united hence why I've been asking for the customer service phone number so I can speak to a real person to get this sorted out
negative,@united did our bags leave Washington yet? That would be convenient seeing as we left there a day ago. #UnitedAirlines #lostluggage
neutral,@united so if I'm flying 1st class just one leg to Chicago but not on my long flight to China am I still able to use the lounge in Chicago
negative,"@united according to your DMs, I'm not owed a refund. please may I be provided with a contact number before I go to my bank to file claim"
negative,@united about 3 hours ago. I need to work out if my bag can make it to my hotel here in time or if it will need to go elsewhere.
neutral,@united Okay thank you
neutral,@united I've filed the claim but have no way of calling for updates. Is there another way to do this?
negative,@united pls properly train your agents. Requested to speak to 1k customer service &amp; was transferred to a dead end. Not even open at this hr
negative,@united Thanks for remembering to load my bag onto my connecting flight. Oh wait you forgot. Iceland should be fun with no clothes....
positive,@united Thank you for the cheese platter and abundance of entertainment options. Time just flew by.
negative,"@united customer service is atrocious! You have disrupted my travel plans, you have lost my luggage and it is impossible to TALK TO A HUMAN"
negative,@united terminal at MIA should have food open before 5am esp when there are flights at 6am. Two hours early like recommended. Can't eat.
negative,@united it was UA flight 1001! Now I'm currently stuck in Portland because I missed my ride because of the 3 hour delay. #GetMartyHome
negative,"@united has not responded to my various requests for contact numbers, does anyone know the UK customer service number for #UnitedAirlines"
negative,@united how we looking on getting those bags to Lusaka
negative,@united Could you update me on the suitcase please? The online and phone tracking told me nothing. I was told I'd have it back yesterday!
positive,@united thank you. Been trying for two days to set this up.
negative,@united just 1 last thing. U guys shouldn't be charging $ for drinks on a transatlantic flight
negative,@united LHR arrival lounge #fail. Waited 20 mins for shower then left to find hotel. U know how many passengers u carry. Planning???
neutral,@united Any luck with finalizing my reservation? I DM'd information to you. Please let me know what else you need. Want to confirm ASAP. Thx
negative,@united completed form but doubt it's any use. UA doesn't care. 6 day vacation will now be 5. Sure UA won't feel responsibility for that...
positive,@united Definitely a compliment! I really thought my bag was lost after it was sent on to another airport. In the end I am a happy customer
positive,@united thanx so much. You followed through and emailed me a $1000 ticket voucher. #unitedairlines they do care
positive,"@united this will definitely be a trip to remember EWR-STI second of the season, first on seat 35A because it pays to be loyal!"
negative,"@united nope, they told us it was time for them to go home and to sleep at the airport. Even though they assured us we would get a room..."
neutral,@united keep me updated. Let me know that the bags make the flight to j-burg
negative,"@united ..back for the expensive holiday, he worked all year to pay for, that you RUINED! We want compensation &amp; his original case back!"
negative,@united thanks United I understand that. But he would actually like his own bag back! What have you done with it?! He also wants the money..
negative,"@united frankly worse customer service ever. Problems will happen, how you deal defines a company. Never again United."
negative,"@united It's still a valid flight. Just seems strange to delay for Late Flight inbound crew,  7 hours from now, when the plane is already here."
negative,@united Thanks for the lack of help and the canned response from the 1K desk!
negative,@united   It's too bad UA has had another unforeseeable operational issue on my return flight.
neutral,@united I would like to know what's going on before his current flight lands.
negative,@united if I pay you $25 and $35 for my luggage to be delivered when I arrive. Why should I have to wait 3 additional days for its delivery?
negative,@united so 8 hotels for 32 people but feel like we are being held hostage because someone has our boarding passes so we can't leave! #FAIL
positive,@united you are one great airline ❤️
negative,@united Outbound 2 bags 70 lbs bags Returning home 1 bag 50 lbs. What is your logic? And WHY? Am I writing to a Machine? Human HELP required
negative,@lindaSWC @united:  We don't like to hear you had a poor experience. Please share details w/our Customer Care team http://t.co/HIsc4NdMgZ.
negative,@united no Cancelled Flightn just left us to fend for ourselves when flt came in Late Flight. Getting runaround for 3 hrs. Each employee blaming  previous 1.
neutral,@united This is NOT a local UNITED number for Malaysia   0011 800-55558000. What is your local United Airlines here in Kuala Lumpur ( KUL )?
negative,@united okay ase24766m. Find our luggage.
negative,@united The agent that met us at the gate said any issues w/delays on UA1116 would have to be taken up online...
neutral,"@united I send you an urgent message via eservice@united.com.  BG0KWM   Narayanan. Please respond ASAP. Also, NO local United Tel # @ KUL"
neutral,@united thanks! Will you guys be getting the A380s anytime soon?
negative,@united But they are not... lady one phone says its in tel aviv. Tel Aviv united says its in Newark. No one knows and I have nothing...
positive,“@united: @MelanieSpring We'll see what we can do. ^KN” We are running! Most of this plane is running. Thanks for the help!
negative,"@united yes, but still now answers. Many have not had their luggage for 3 days! Unacceptable!!"
negative,@united what is that going to do for you? Nothing just like you always do
neutral,@united I sent in my feedback.  Thank you.
negative,@united plus what about food? And taxis?
negative,@united you are offering us 8 rooms for 32 people #FAIL
negative,@united 32 people getting pretty tired about no action on solving the problem plus missing a day of vacation and skiing
negative,@united The bright side would be keeping the promise that was made to me. Hope you're having a good night. Thanks.
neutral,@united yes I do.
negative,@united I take back the comment about your team here working hard to help us A so far no solution for a hotel or food or anything #fail
negative,@united on 4124 arriving two hours Late Flight into CLT. Now sitting on the tarmac while they move a plane from the gate. Unhappy customer.
negative,@united airlines is the absolute worst. They have no idea what they are doing. #neveragain #UnitedAirlines
negative,"@united Thanks; might want to fix this line: ""Our Customer Care team is currently responding to most inquiries within 7-10 business days."""
positive,@united we just flew with United from AUS (Austin Bergstrom) to Cancun Intl. Best flight ever! The 737's are not too big... Not too small!
negative,"@united it's frustrating, as a frequent flyer, loyal since Continental. Upgrade equals paying 3 times or more on top of purchase ticket."
neutral,@united Deep Vein thrombosis
negative,"@united at its worse. Can't figure how to pack plane, screws up connectns then claims no hotl rooms in San Fran for stranded pax. Way to go!"
negative,@united 4 passengers after a 2 hour delayed flight left with no hotel at the end of the night @ hou airport. Wtf??!! http://t.co/ZfqMpGXVS6
negative,"Hey @united why does the flight from IAH to POS leave so Late Flight, and the one back to IAH so early? I rather get to POS earlier"
negative,@united Lost bag process is broken. Agent promised they'd call &amp; hold my bag when found. Now they're waking me at 3am w/ delivery. #fail
negative,@united the people at the counter have been very helpful. As you can see nobody is there. Flight to Austin 10:55 and still sitting here.
neutral,@united unfortunately still on the Tarmac at @fly2ohare and definitely missing my ride from @flypdx #GonnaBeALongNight
negative,“@united: @Darquenloveli We regret to hear this. Please let us know if you need assistance. ^KN” I was finally able to secure my seat. Thx
neutral,@united what time does check in open for flight no UA80 from Manchester to Newark today ?
negative,"@united good to know you will open the closed doors for ""premier passengers"" after safety briefings on delayed flights. #annoyed."
neutral,@united DM sent
negative,@united yea get me to phoenix already. Delays all day with you people. It's bullshit.
negative,"@united If it's any consolation, your staff was stellar. Just not the hour+ delays I encountered with every one of my 4 flights."
positive,"@united flight ua3576, gate b1. And tell ray I somehow made it on to the 736 flight out of IAH and didn't have to wait for the 917 one. :)"
negative,@united that's unfortunate. The @Tumitravel was an xmas gift and it looks like a razor ripped right through the front pocket in the picture
positive,@united But thanks for asking
negative,@united Lost bags. Cancelled Flightled flights. Delhi call centers. Poor United staff spread thin and stressed. You name it.
negative,@united Yes. Doesn't make that mistake any less absurd. Doesn't change the fact that I'm very inconveniently missing my luggage tonight.
negative,@united I'm constantly having challenges with upgrades &amp; charges. In order to prevent DVT I have to pay an addtl $180 http://t.co/xC6jQ70r7B
negative,"@united In ORD, waited 20 min after crew members left before gate items came. Flight attendant sarcastically said good luck and walked away."
neutral,"@united Follow me back, please, and I'll happily DM you the link because I'd rather not share my travel plans publicly."
positive,@united you too!
positive,@united is my favorite airline.
negative,@united seriously #fail on making strangers share a room
neutral,@united @luke_mcintosh68 nah you wouldn't
negative,@united we needed them here asap. Will they make it on today's flight?
negative,@united agent split up my reservation? Now can't Cancelled Flight and refund credit for 2wks? Why
neutral,@united Our vacation's going to be ruined w/ 3 days of rain. : ( The change fee for 2 of us is nearly cost of original flight. Can you help?
neutral,@united I sent the message. Let me know ASAP.
negative,@united why would they make me share a room?
negative,"@united tried calling too, but w/25 min phn wait means we'd miss options anyway"
negative,@united can you ask your guys with flight 1146 to BWI to wait for us to get off a delayed flight from San Diego? Pretty please?
negative,@united we're still waiting to find out your rep is working hard - most upset about having to wait to tomorrow pm to get to mammoth
negative,"@united for an early flt, I think a call is appropriate. Yes, reviewed and nada avail until next day. Expect full refund"
neutral,"@united i understand, thanks"
negative,"@united again I ask, who can I call to get this fixed? Tweeting me BS questions to stall only makes things worse. Phone number please."
negative,@united Yo yo yo stuck on the tarmac for over 2 hours at @fly2ohare ... Going to miss my ride at @flypdx help please! #HelpImStuck #United
negative,@united it's highly unprofessional for you to overbook a flight by 12 seats &amp;feel that I should rearrange my schedule for your mismanagement
negative,"@united well, considering every agent before claimed they were unable to help with everything else, why waste more time to hear 'call corp'"
positive,@united man I can't wait to book my ticket now! Thanks JP you're a life sabe
negative,"@united Ice, which I totally understand. But when a large number of us are facing 15+ hours of time and overnight Cancelled Flightations it seems like"
negative,@united flt 1249 Cancelled Flightled and I get email @3:30 AM? What happened to courtesy phn call? Had to book diff airline &amp; city
negative,"@united tag numbers 0016 964012, 0016 964077, 0016 964078 - let's find these bags."
negative,"@united better train your support staff with appropriate decorum, consider revisiting your terrible ""provide a death certificate' policy"
negative,@united Well the bar is set low! You guys are really good at the apology game! What will change? When will u guys learn?
neutral,"@united My post was just more of disappointment.  I'm a frequent United flyer, it was a simple ??.  1 bad apple doesn't spoil the bunch."
positive,@united you guys continue to impress me in Houston. http://t.co/cIh1qNllcM
negative,@United I have no way of making phones calls... Need to handle via Twitter/email/web. Thank you!
neutral,@united Please help... I am in Ethiopia adopting a two year old child. Have an existing confirmation #. Need to add child to reservation.
neutral,"@united question:are there onboad 110 volt outlets in all planes? If so, where?"
negative,@united Your website deserves a new design. #html5 FTW!
negative,@united thanks for effing up our holidays - we're missing a full day of skiing due to your baggage team's incompetence at @FlyYOW
neutral,@united Twitter isn't letting me DM you..
neutral,@united I hope so too
negative,@united agent helps the person in front of me.  Finishes up with them and then walks away.  The guy behind me is as shocked as I am.
negative,@united Connection at ORD was on the exact same plane again. Checked carry-on was apparently taken off &amp; left in Chicago. Pretty ridiculous.
negative,@united Not encouraged that I'll have my CPAP tonight.
negative,@united Yes. Did file a claim as soon as the carousel stopped without my bag on it. Got an email that its found but not sched for delivery
neutral,@United an idea: monitor mileage members travel patterns enough to know when they change jobs/lose status...and make the transition easier.
negative,@united  Delay DEN-CLE because they have to manually enter baggage tags? Really? Worst cust service day for this 1ker. #friendlyskies??
negative,"@united Why tell us flight is delayed, then tell us it's on time again with 20 min to spare? Don't say it's delayed unless you're sure!"
negative,"@united yes in Lusaka, Zambia. My guess is the bags never made the plane at IAD."
neutral,@united where is my flight voucher?
negative,"@united Late Flight to Denver, Late Flight to Newark...let's not even get into the disaster that was checking bags. Unacceptable."
negative,@united has once again let me down. Don't think I've ever flown with them and not had problems. Worst airline period.
negative,@united yes I filed a claim &amp; hope to receive by luggage by 2am. Ridiculous as I had to purchase items to go to sleep &amp; no reimbursement.
negative,@united UA938 ORD-LHR.  bags are being loaded 30min Late Flight. Frigid air into cabin! Plane feels like falling apart! Upgrade long haul fleet!
negative,"@united Flight attendant never served me my beverage (tea), and not once checked up on me. What gives? #ua6076 #notcool"
negative,@united load balancing system apparently down #systemwide - major impact on all #united airlines flights. Was this a #cyberattack?
negative,@united After our unscheduled refueling stop and missing 2 connecting flights we r home n looking 4ward to our bed and a big PB&amp;J sandwich.
negative,@united @AmericanAir spent hundreds to rectify the situation and you guys go quiet
negative,@united UA276 sitting at EWR nearly an hour after sked.  Pilot says computers down but no clue when we will leave.  Can you help?
negative,@united @AmericanAir so that's it? It just ends there? Come on! I traveled for literally an extra day and a half because of this!
positive,@united Made the upgrade list. Will fly 1st tomorrow (for 40 min) for the first time ever! 🙌 #StatusMatchPaidOff http://t.co/ATfRKp6goY
positive,"@united not just refunded, but for those of us who are on vacation to get a free room night to make up for making us sleep in DIA"
positive,@united Thanks for the reminder. It's been a fun ride. http://t.co/pPVA4Rch9f
negative,@united I received my luggage that also looked to be left in the snow when I arrived. I'm asking for all 50 people to be refunded.
negative,@united updated A320 aircraft has wifi and device entertainment but no outlets. I don't get it. How can I charge devices?
negative,@united was no one between the scan and inside the plane. I just asked the people in line around me where the plane was going
negative,"@united 5 gate changes, two delays.  Even the crew thinks the airline sucks"
negative,@united I'm very frustrated and have wasted 2 days now due to your equipment failures.
